Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	kworker/u9:2	14898	Uninterruptible Sleep	69.844929	17.461232	4
kthreadd	2	mtk_stp_psm	388	Sleeping	69.765621	9.966517	7
org.mozilla.firefox	13990	RenderThread	14070	Uninterruptible Sleep	68.574621	1.182321	58
org.mozilla.firefox:tab0	14091	Chrome_ChildThr	14201	Runnable (Preempted)	67.71001	0.286906	236
kthreadd	2	present_fence_w	185	Running	66.76901	0.029622	2254
kthreadd	2	mtk_wmtd	390	Sleeping	65.981773	6.598177	10
org.mozilla.firefox	13990	mali-cmar-backe	14151	Runnable	65.26408	0.239062	273
kthreadd	2	kworker/0:3	14518	Runnable (Preempted)	63.022471	0.368552	171
kthreadd	2	btif_rxd	164	Sleeping	61.894082	7.73676	8
org.mozilla.firefox	13990	mali-mem-purge	14145	Running	61.886478	0.180427	343
org.mozilla.firefox	13990	Thread-24	14079	Runnable	60.733853	0.731733	83
org.mozilla.firefox	13990	DefaultDispatch	14056	Uninterruptible Sleep + Wake Kill	58.470156	1.886134	31
org.mozilla.firefox	13990	JS Watchdog	14086	Runnable (Preempted)	56.213928	0.892284	63
kthreadd	2	rcu_preempt	7	Runnable (Preempted)	55.953171	0.254332	220
kthreadd	2	bat_routine_thr	202	Runnable	55.636695	0.394586	141
org.mozilla.firefox	13990	mali-hist-dump	14152	Runnable	53.654393	0.147402	364
org.mozilla.firefox:tab0	14091	StreamTrans #5	15378	Uninterruptible Sleep + Wake Kill	52.847466	26.423733	2
org.mozilla.firefox:tab0	14091	Chrome_ChildThr	14201	Uninterruptible Sleep + Wake Kill	51.61785	3.686989	14
kthreadd	2	tx_thread	1418	Runnable	50.934223	0.081105	628
org.mozilla.firefox	13990	Thread-24	14079	Running	49.820316	0.311376	160
kthreadd	2	frame_update_wo	186	Running	48.536116	0.021726	2234
org.mozilla.firefox	13990	GleanAPIPool	14032	Runnable (Preempted)	48.495231	0.332159	146
org.mozilla.firefox	13990	Thread-25	14164	Uninterruptible Sleep	48.250082	2.297622	21
org.mozilla.firefox	13990	mali-mem-purge	14145	Runnable (Preempted)	47.557007	0.440342	108
org.mozilla.firefox	13990	localStorage DB	15490	Runnable	47.369924	0.411912	115
org.mozilla.firefox	13990	Thread-24	14079	Runnable (Preempted)	46.849542	0.659852	71
kthreadd	2	kswapd0	85	Runnable	45.372089	0.265333	171
org.mozilla.firefox	13990	StreamTrans #28	15320	Runnable (Preempted)	44.494081	7.41568	6
kthreadd	2	kworker/1:2H	12396	Runnable	44.440609	0.070652	629
org.mozilla.firefox	13990	DefaultDispatch	14056	Runnable	44.418846	0.411285	108
